# Total Phase Data Center(tm) v8.00
# (c) 2005-2025 Total Phase, Inc.
# www.totalphase.com
#
# Thu Dec 18 15:27:42 2025
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Summary
0,FS,2199,1:20.434.670,24.005.000 ms,,,,,[25 SOF],[Frames: 181 - 205] 
0,FS,2200,1:20.457.486,1.399.083 ms,1386 B,,03,01,NCM Transfer Block OUT,
0,FS,2289,1:20.459.673,2.083 us,,,,,[1 SOF],[Frame: 206] 
0,FS,2290,1:20.458.894,1.421.666 ms,1406 B,,03,01,NCM Transfer Block OUT,
0,FS,2388,1:18.493.557,1.984.247.000 s,,,03,02,[63 IN-NAK],[Periodic Timeout]
0,FS,2389,1:20.460.673,129.017.916 ms,,,,,[130 SOF],[Frames: 207 - 336] 
0,FS,2390,1:20.433.970,156.234.083 ms,264 B,,03,01,NCM Transfer Block IN,
0,FS,2412,1:20.590.689,71.010.833 ms,,,,,[72 SOF],[Frames: 337 - 408] 
0,FS,2413,1:20.661.727,91.333 us,100 B,,03,01,NCM Transfer Block OUT,
0,FS,2422,1:20.662.697,348.044.750 ms,,,,,[349 SOF],[Frames: 409 - 757] 
0,FS,2423,1:20.590.210,421.424.500 ms,72 B,,03,01,NCM Transfer Block IN,
0,FS,2433,1:21.011.740,75.011.333 ms,,,,,[76 SOF],[Frames: 758 - 833] 
0,FS,2434,1:21.011.641,75.999.083 ms,216 B,,03,01,NCM Transfer Block IN,
0,FS,2452,1:21.087.749,90.013.166 ms,,,,,[91 SOF],[Frames: 834 - 924] 
0,FS,2453,1:21.177.800,490.583 us,530 B,,03,01,NCM Transfer Block OUT,
0,FS,2490,1:21.178.761,2.083 us,,,,,[1 SOF],[Frame: 925] 
0,FS,2491,1:21.178.301,679.500 us,550 B,,03,01,NCM Transfer Block OUT,
0,FS,2537,1:21.179.761,61.009.500 ms,,,,,[62 SOF],[Frames: 926 - 987] 
0,FS,2538,1:21.087.647,153.777.916 ms,208 B,,03,01,NCM Transfer Block IN,
0,FS,2556,1:21.241.768,2.083 us,,,,,[1 SOF],[Frame: 988] 
0,FS,2557,1:21.241.433,850.833 us,200 B,,03,01,NCM Transfer Block IN,
0,FS,2575,1:21.242.768,2.083 us,,,,,[1 SOF],[Frame: 989] 
0,FS,2576,1:21.242.290,805.000 us,184 B,,03,01,NCM Transfer Block IN,
0,FS,2590,1:21.243.769,2.083 us,,,,,[1 SOF],[Frame: 990] 
0,FS,2591,1:21.243.104,1.485.083 ms,132 B,,03,01,NCM Transfer Block IN,
0,FS,2605,1:21.244.769,308.039.833 ms,,,,,[309 SOF],[Frames: 991 - 1299] 
0,FS,2606,1:21.244.595,308.375.000 ms,,,03,01,[28059 IN-NAK],
0,FS,2607,1:20.509.804,1.024.129.083 s,,,03,02,[33 IN-NAK],
0,,2608,1:21.552.969,,,,,,Capture stopped,[Thu Dec 18 15:26:43 2025]
